
"KS403EW - Rooms, bedrooms and central heating"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All categories: Type of central heating in household","Does not have central heating","Does have central heating","Occupancy rating (rooms) of -1 or less","Occupancy rating (bedrooms) of -1 or less","Average household size","Average number of rooms per household","Average number of bedrooms per household"
"Havering 024C","E01002388",608,6,602,2,9,2.7,6.7,3.4
"Havering 024D","E01002389",623,1,622,9,10,2.4,6.4,3.2
"Havering 024E","E01002390",531,2,529,5,3,2.7,6.8,3.4
"Havering 025A","E01002265",638,28,610,33,13,2.3,4.9,2.6
"Havering 025B","E01002285",520,8,512,14,11,2.4,5.5,2.8
"Havering 025C","E01002286",614,4,610,14,10,2.7,5.7,3.1
"Havering 025D","E01002288",554,5,549,16,12,2.8,6.0,3.3
"Havering 025E","E01002290",641,7,634,18,18,2.4,5.5,2.8
"Havering 026A","E01002260",566,6,560,30,26,2.7,5.7,3.2
"Havering 026B","E01002261",645,25,620,42,28,2.6,5.3,3.0
"Havering 026C","E01002262",625,20,605,45,26,2.6,5.5,2.9
"Havering 026D","E01002263",609,7,602,18,19,2.6,5.7,3.2
"Havering 026E","E01002264",710,25,685,63,33,2.1,4.4,2.2
"Havering 027A","E01002266",600,15,585,18,16,2.4,5.4,3.0
"Havering 027B","E01002267",734,16,718,52,29,2.3,4.8,2.5
"Havering 027C","E01002372",603,10,593,32,20,2.7,5.6,3.0
"Havering 027D","E01002373",628,6,622,34,28,2.5,5.3,2.8
"Havering 027E","E01002374",604,15,589,55,31,2.5,5.1,2.8
"Havering 028A","E01002368",696,13,683,101,54,2.3,4.4,2.3
"Havering 028B","E01002369",730,9,721,74,38,2.6,5.2,2.8
"Havering 028C","E01002370",846,24,822,75,41,2.3,4.7,2.5
"Havering 028D","E01002371",643,15,628,26,19,2.5,5.4,2.9
"Havering 028E","E01002375",688,20,668,60,36,2.5,4.9,2.7
"Havering 029A","E01002343",636,6,630,22,15,2.6,5.8,3.1
"Havering 029B","E01002344",638,9,629,39,22,2.4,5.5,2.9
"Havering 029C","E01002348",642,5,637,15,15,2.4,5.5,3.0
"Havering 029D","E01002349",608,10,598,34,18,2.5,5.4,2.9
"Havering 030A","E01002342",632,15,617,57,26,2.5,4.9,2.7
"Havering 030B","E01002345",756,34,722,94,46,2.2,4.3,2.2
"Havering 030C","E01002346",557,13,544,56,46,2.7,5.2,2.8
"Havering 030D","E01002347",526,10,516,35,21,2.7,5.4,3.0
"Hillingdon 001A","E01002473",636,6,630,67,12,2.4,6.9,3.4
"Hillingdon 001B","E01002475",692,7,685,69,44,2.1,4.8,2.3
"Hillingdon 001C","E01002476",611,3,608,21,18,2.6,6.8,3.4
"Hillingdon 001D","E01002477",559,1,558,39,14,2.2,5.5,2.8
"Hillingdon 001E","E01002482",617,2,615,13,8,2.6,6.5,3.3
"Hillingdon 002A","E01002472",771,17,754,72,23,1.9,4.6,2.2
"Hillingdon 002B","E01002474",643,16,627,56,31,2.3,5.4,2.8
"Hillingdon 002C","E01002478",666,13,653,65,37,2.2,5.2,2.6
"Hillingdon 002D","E01002483",714,17,697,68,49,2.4,5.0,2.5
"Hillingdon 002E","E01002484",585,11,574,61,48,2.4,5.0,2.5
"Hillingdon 002F","E01002485",762,24,738,108,57,2.2,4.5,2.2
"Hillingdon 003A","E01002438",480,9,471,28,15,2.6,5.8,3.0
"Hillingdon 003B","E01002439",608,11,597,55,45,2.4,5.2,2.6
"Hillingdon 003C","E01002440",618,12,606,50,37,2.3,5.2,2.7
"Hillingdon 003D","E01002441",667,14,653,81,36,2.3,4.8,2.4
"Hillingdon 003E","E01002442",635,21,614,64,42,2.4,4.9,2.5
"Hillingdon 004A","E01002433",782,13,769,88,41,2.3,5.1,2.6
"Hillingdon 004B","E01002436",658,12,646,31,19,2.4,5.3,2.7
"Hillingdon 004C","E01002479",628,3,625,56,33,2.6,5.2,2.7
"Hillingdon 004D","E01002480",713,3,710,28,19,2.5,5.9,3.0
"Hillingdon 004E","E01002481",659,4,655,82,40,2.5,5.0,2.5
"Hillingdon 005A","E01002533",589,11,578,75,46,2.5,4.8,2.5
"Hillingdon 005B","E01002534",607,10,597,55,22,2.4,5.6,2.8
"Hillingdon 005C","E01002538",746,11,735,70,35,2.1,4.7,2.4
"Hillingdon 005D","E01002539",619,3,616,68,17,2.5,5.5,2.8
"Hillingdon 006A","E01002418",658,3,655,38,31,2.7,5.5,2.9
"Hillingdon 006B","E01002419",611,6,605,21,18,2.5,5.5,2.9
"Hillingdon 006C","E01002431",489,5,484,17,17,2.9,6.5,3.3
"Hillingdon 006D","E01002432",635,19,616,44,32,2.5,5.4,2.7
"Hillingdon 006E","E01002437",608,4,604,20,9,2.4,6.2,3.1
"Hillingdon 007A","E01002430",524,2,522,10,11,2.8,7.1,3.5
"Hillingdon 007B","E01002434",504,4,500,10,13,2.7,6.6,3.4
"Hillingdon 007C","E01002435",535,3,532,12,10,2.7,6.3,3.2
"Hillingdon 007D","E01002470",702,16,686,77,28,2.4,5.2,2.7
"Hillingdon 007E","E01002535",828,21,807,100,28,2.1,5.0,2.5
"Hillingdon 008A","E01002416",593,6,587,38,31,2.9,5.6,3.0
"Hillingdon 008B","E01002417",638,11,627,25,19,2.5,5.6,2.9
"Hillingdon 008C","E01002420",662,5,657,54,33,2.4,4.9,2.5
"Hillingdon 008D","E01002421",636,10,626,25,22,2.6,5.6,2.9
"Hillingdon 008E","E01002471",634,6,628,37,26,2.6,5.3,2.7
"Hillingdon 009A","E01002465",633,14,619,49,34,2.5,5.0,2.6
"Hillingdon 009B","E01002467",639,4,635,28,21,2.4,5.3,2.6
"Hillingdon 009C","E01002494",637,15,622,68,44,2.7,5.0,2.7
"Hillingdon 009D","E01002536",609,17,592,65,22,2.2,4.6,2.4
"Hillingdon 009E","E01002537",579,4,575,46,29,2.4,5.2,2.7
"Hillingdon 010A","E01002415",643,11,632,33,17,2.7,5.4,2.8
"Hillingdon 010B","E01002466",633,15,618,28,28,2.7,5.4,2.8
"Hillingdon 010C","E01002468",633,13,620,35,20,2.7,5.4,2.9
"Hillingdon 010D","E01002469",631,15,616,39,30,2.6,5.4,2.8
"Hillingdon 010E","E01002495",695,12,683,72,43,2.6,5.0,2.6
"Hillingdon 011A","E01002458",543,7,536,10,12,2.6,6.4,3.3
"Hillingdon 011B","E01002459",622,2,620,13,11,2.6,6.1,3.1
"Hillingdon 011C","E01002460",597,8,589,28,15,2.2,5.5,2.7
"Hillingdon 011D","E01002462",506,4,502,20,10,2.8,6.3,3.3
"Hillingdon 011E","E01002464",623,8,615,23,27,2.5,5.5,2.9
"Hillingdon 013A","E01002461",516,3,513,12,13,2.8,7.3,3.6
"Hillingdon 013B","E01002463",528,2,526,21,15,2.9,6.6,3.4
"Hillingdon 013C","E01002512",647,6,641,32,20,2.6,6.4,3.3
"Hillingdon 013D","E01002513",544,3,541,28,9,2.5,5.8,2.9
"Hillingdon 013E","E01002516",490,1,489,17,15,2.9,6.9,3.6
"Hillingdon 014A","E01002450",503,7,496,47,27,2.8,5.2,2.8
"Hillingdon 014B","E01002451",493,3,490,35,25,3.1,5.7,3.1
"Hillingdon 014C","E01002452",500,13,487,37,32,3.1,5.7,3.1
"Hillingdon 014D","E01002453",599,23,576,54,51,2.8,5.3,2.9
"Hillingdon 014E","E01002454",661,8,653,93,70,2.7,5.0,2.6
"Hillingdon 015A","E01002414",527,17,510,135,61,2.2,4.5,2.3
"Hillingdon 015C","E01002514",885,31,854,166,53,2.1,4.5,2.3
"Hillingdon 015D","E01002515",718,20,698,105,50,2.2,4.6,2.3
"Hillingdon 015F","E01033725",945,25,920,180,88,2.5,4.9,2.5
"Hillingdon 016B","E01002520",603,14,589,100,52,2.6,4.6,2.4
"Hillingdon 016C","E01002521",909,19,890,305,119,1.9,3.6,1.7
"Hillingdon 016D","E01002523",549,13,536,94,67,3.0,5.2,2.8
"Hillingdon 016F","E01033724",1051,28,1023,213,126,2.6,4.9,2.6
"Hillingdon 017A","E01002410",638,9,629,89,37,2.7,5.2,2.8
"Hillingdon 017B","E01002412",822,8,814,161,80,2.8,5.1,2.8
"Hillingdon 017C","E01002456",621,19,602,83,46,2.6,5.1,2.7
"Hillingdon 017D","E01002509",502,7,495,26,16,2.9,6.2,3.4
"Hillingdon 017E","E01002511",613,9,604,73,45,2.5,4.9,2.6
"Hillingdon 018A","E01002422",494,21,473,56,34,2.9,5.1,2.8
"Hillingdon 018B","E01002423",568,13,555,64,37,2.9,5.4,2.9
"Hillingdon 018C","E01002424",526,8,518,75,50,3.0,5.1,2.8
"Hillingdon 018D","E01002425",613,20,593,142,88,2.9,4.7,2.6
"Hillingdon 018E","E01002427",514,8,506,89,41,2.8,4.9,2.7
"Hillingdon 018F","E01002428",496,11,485,54,33,3.0,5.2,2.9
"Hillingdon 019A","E01002408",629,25,604,163,90,2.4,4.2,2.2
"Hillingdon 019B","E01002409",672,11,661,120,63,2.6,4.8,2.5
"Hillingdon 019C","E01002429",498,13,485,92,65,2.8,4.9,2.6
"Hillingdon 019D","E01002455",652,14,638,113,65,2.6,4.7,2.5
"Hillingdon 019E","E01002457",517,8,509,128,91,3.0,4.9,2.6
"Hillingdon 020A","E01002392",618,7,611,165,132,2.7,4.3,2.2
"Hillingdon 020B","E01002393",705,26,679,187,118,2.8,4.4,2.4
"Hillingdon 020C","E01002540",621,14,607,170,117,2.7,4.1,2.1
"Hillingdon 020D","E01002542",665,15,650,190,150,2.9,4.2,2.2
"Hillingdon 020E","E01002543",625,29,596,158,95,2.8,4.4,2.4
"Hillingdon 021A","E01002394",508,12,496,104,77,3.2,5.1,2.8
"Hillingdon 021B","E01002395",424,9,415,95,67,3.3,5.1,2.8
"Hillingdon 021C","E01002397",514,15,499,160,107,3.3,4.7,2.8
"Hillingdon 021D","E01002398",493,9,484,117,89,3.5,5.2,2.9
"Hillingdon 021E","E01002399",474,5,469,94,71,3.4,5.4,2.9
"Hillingdon 021F","E01002426",631,32,599,123,98,2.8,4.5,2.3
"Hillingdon 022A","E01002411",632,13,619,113,74,2.7,4.9,2.6
"Hillingdon 022B","E01002413",594,12,582,109,79,2.6,4.7,2.4
"Hillingdon 022C","E01002518",490,3,487,66,37,2.7,5.4,2.9
"Hillingdon 022D","E01002519",719,31,688,228,79,2.1,3.8,1.9
"Hillingdon 022E","E01002550",795,49,746,280,133,2.3,3.7,1.8
"Hillingdon 022F","E01002554",1073,45,1028,357,148,2.4,3.9,2.0
"Hillingdon 023A","E01002541",785,16,769,153,109,2.5,4.4,2.2
"Hillingdon 023B","E01002544",555,8,547,105,78,3.0,5.0,2.7
"Hillingdon 023C","E01002545",483,4,479,138,90,3.1,4.6,2.5
"Hillingdon 023D","E01002546",449,12,437,100,79,3.5,5.3,3.0
"Hillingdon 023E","E01002547",492,13,479,120,79,3.2,4.7,2.6
"Hillingdon 024A","E01002400",599,6,593,100,72,3.0,5.1,2.8
"Hillingdon 024B","E01002401",609,9,600,135,86,2.7,4.6,2.4
"Hillingdon 024C","E01002402",491,10,481,93,64,3.0,4.9,2.7
"Hillingdon 024D","E01002403",543,9,534,138,90,3.3,4.8,2.8
"Hillingdon 024E","E01002404",675,15,660,161,108,2.7,4.3,2.3
"Hillingdon 025A","E01002548",657,10,647,103,72,2.5,4.6,2.4
"Hillingdon 025B","E01002549",672,9,663,83,58,2.6,4.9,2.6
"Hillingdon 025C","E01002551",641,7,634,98,82,3.0,5.2,2.8
"Hillingdon 025D","E01002552",526,1,525,83,61,3.0,5.1,2.8
"Hillingdon 025E","E01002553",603,8,595,116,83,2.8,4.6,2.5
"Hillingdon 026A","E01002396",563,13,550,109,84,3.1,5.0,2.7
"Hillingdon 026B","E01002501",506,12,494,120,94,3.3,5.2,2.8
"Hillingdon 026C","E01002502",491,3,488,90,77,3.2,5.3,2.9
"Hillingdon 026D","E01002505",682,27,655,203,129,2.5,3.9,1.9
"Hillingdon 026E","E01002508",648,5,643,157,113,3.0,4.6,2.4
"Hillingdon 027A","E01002405",634,14,620,137,95,2.9,4.8,2.5
"Hillingdon 027B","E01002406",680,6,674,196,133,3.1,4.8,2.7
"Hillingdon 027C","E01002503",497,12,485,122,85,3.4,5.2,3.0
"Hillingdon 027D","E01002504",726,26,700,183,112,2.7,4.5,2.3
"Hillingdon 027E","E01002506",643,13,630,236,164,2.8,4.2,2.2
"Hillingdon 027F","E01002507",465,9,456,110,76,3.6,5.2,3.0
"Hillingdon 028A","E01002486",699,12,687,167,110,3.1,4.9,2.7
"Hillingdon 028B","E01002487",614,13,601,151,102,3.0,4.7,2.6
"Hillingdon 028C","E01002526",635,10,625,150,82,3.0,4.7,2.7
"Hillingdon 028D","E01002528",563,4,559,76,62,3.0,5.2,2.9
"Hillingdon 028E","E01002532",886,27,859,308,133,2.6,4.0,2.2
"Hillingdon 029A","E01002445",588,4,584,159,106,2.9,4.5,2.4
"Hillingdon 029B","E01002525",647,29,618,73,35,2.4,5.2,2.7
"Hillingdon 029C","E01002529",771,9,762,155,109,2.7,4.7,2.5
"Hillingdon 029D","E01002530",619,14,605,111,85,2.6,4.6,2.4
"Hillingdon 029E","E01002531",644,7,637,66,32,2.5,5.2,2.7
"Hillingdon 030A","E01002407",725,10,715,265,132,3.1,4.5,2.6
"Hillingdon 030B","E01002488",533,8,525,101,75,3.2,5.3,3.0
"Hillingdon 030C","E01002489",537,9,528,141,99,3.4,5.1,2.9
"Hillingdon 030D","E01002490",656,16,640,173,132,3.2,4.8,2.6
"Hillingdon 030E","E01002492",488,8,480,106,76,3.4,5.0,2.9
"Hillingdon 031A","E01002444",625,25,600,157,70,2.5,4.8,2.6
"Hillingdon 031B","E01002446",592,10,582,93,59,2.6,4.9,2.6
"Hillingdon 031C","E01002447",623,21,602,176,108,2.7,4.3,2.3
"Hillingdon 031D","E01002527",622,18,604,101,52,2.4,4.6,2.4
"Hillingdon 032A","E01002443",547,13,534,152,105,3.0,4.5,2.4
"Hillingdon 032B","E01002448",765,40,725,199,96,2.6,4.3,2.3
"Hillingdon 032C","E01002449",710,17,693,244,119,2.5,3.9,2.1
"Hillingdon 032D","E01002491",519,14,505,124,97,3.1,4.8,2.6
"Hillingdon 032E","E01002493",601,5,596,181,129,3.1,4.4,2.4
"Hillingdon 033A","E01002496",767,29,738,140,70,2.3,4.2,2.1
"Hillingdon 033B","E01002497",759,22,737,106,73,2.4,4.6,2.3
"Hillingdon 033C","E01002498",516,9,507,34,21,2.7,5.6,2.9
"Hillingdon 033D","E01002499",678,11,667,77,52,2.5,4.9,2.6
"Hillingdon 033E","E01032577",601,14,587,43,33,2.8,5.4,3.0
"Hounslow 001A","E01002569",792,16,776,75,36,2.1,4.8,2.5
"Hounslow 001B","E01002570",732,27,705,143,52,2.3,4.8,2.5
"Hounslow 001C","E01002573",679,28,651,91,29,2.4,5.9,3.2
"Hounslow 001D","E01002574",645,18,627,82,27,2.4,5.4,2.9
"Hounslow 001E","E01002575",688,11,677,103,42,2.5,5.5,3.0
"Hounslow 003A","E01002562",518,9,509,88,66,2.6,5.0,2.6
"Hounslow 003B","E01002564",736,13,723,134,83,2.6,4.6,2.4
"Hounslow 003C","E01002566",1027,34,993,277,138,2.1,3.7,1.8
"Hounslow 003D","E01002568",1181,10,1171,408,144,2.3,3.8,2.1
"Hounslow 003F","E01033081",649,9,640,232,52,1.9,3.4,1.8
"Hounslow 003G","E01033082",659,11,648,105,65,1.9,3.9,2.0
"Hounslow 004A","E01002620",676,11,665,196,116,2.7,4.3,2.3
"Hounslow 004B","E01002625",492,11,481,98,71,3.4,5.6,3.1
"Hounslow 004C","E01002626",490,8,482,103,65,3.3,5.4,3.0
"Hounslow 004D","E01002627",609,4,605,187,132,2.7,4.4,2.3
"Hounslow 004E","E01002631",509,14,495,143,94,3.2,4.7,2.7
"Hounslow 005A","E01002633",623,16,607,202,117,2.6,4.1,2.2
"Hounslow 005B","E01002634",546,5,541,221,163,3.1,4.2,2.3
"Hounslow 005C","E01002637",563,14,549,193,123,2.9,4.2,2.3
"Hounslow 005D","E01002638",582,4,578,139,109,3.1,4.8,2.7
"Hounslow 006A","E01002563",635,23,612,94,65,2.6,5.4,2.8
"Hounslow 006B","E01002565",1020,48,972,343,82,2.0,3.8,2.0
"Hounslow 006C","E01002567",837,33,804,129,47,2.1,4.3,2.1
"Hounslow 006D","E01002684",1096,46,1050,222,93,2.1,4.3,2.2
"Hounslow 006E","E01002686",681,11,670,153,98,2.6,4.4,2.4
"Hounslow 007A","E01002571",611,17,594,35,23,2.2,5.4,2.8
"Hounslow 007B","E01002572",710,13,697,166,85,2.3,4.3,2.3
"Hounslow 007C","E01002577",660,14,646,61,33,2.5,5.4,2.9
"Hounslow 007D","E01002578",612,6,606,45,19,2.5,5.8,3.1
"Hounslow 007E","E01002689",796,21,775,111,43,2.0,4.4,2.3
"Hounslow 007F","E01002690",612,20,592,73,31,2.4,5.9,3.1
"Hounslow 008A","E01002576",756,25,731,138,65,2.3,4.8,2.5
"Hounslow 008B","E01002579",823,18,805,62,25,2.1,5.3,2.7
"Hounslow 008C","E01002580",675,20,655,169,49,2.1,4.1,2.1
"Hounslow 008D","E01002581",862,13,849,104,50,2.2,4.7,2.4
"Hounslow 008E","E01002582",719,13,706,60,24,2.3,5.2,2.8
"Hounslow 009A","E01002675",877,3,874,222,63,2.8,5.2,2.9
"Hounslow 009B","E01002678",669,32,637,94,59,2.8,5.6,2.9
"Hounslow 009C","E01002679",643,12,631,80,51,2.8,5.3,2.9
"Hounslow 009D","E01002680",728,18,710,136,72,2.7,5.2,2.8
"Hounslow 010A","E01002619",624,8,616,133,105,3.1,5.2,2.7
"Hounslow 010B","E01002622",526,6,520,121,88,3.3,5.3,3.0
"Hounslow 010C","E01002632",569,9,560,145,85,3.2,5.0,2.8
"Hounslow 010D","E01002635",524,6,518,101,92,3.3,5.4,2.9
"Hounslow 010E","E01002636",609,12,597,119,112,3.3,5.2,2.9
"Hounslow 011A","E01002618",512,8,504,75,63,3.3,5.6,3.1
"Hounslow 011B","E01002621",594,15,579,147,112,3.1,4.7,2.6
"Hounslow 011C","E01002623",484,9,475,135,109,3.4,5.2,2.9
"Hounslow 011D","E01002628",620,15,605,143,100,3.1,5.2,2.9
"Hounslow 011E","E01002629",715,14,701,162,108,2.9,5.0,2.7
"Hounslow 012A","E01002630",569,13,556,118,86,3.0,5.0,2.7
"Hounslow 012B","E01002639",497,9,488,124,94,3.4,5.3,3.1
"Hounslow 012C","E01002640",548,8,540,176,144,3.3,4.9,2.8
"Hounslow 012D","E01002674",668,25,643,103,63,2.6,5.0,2.7
"Hounslow 012E","E01002676",559,6,553,74,42,3.1,6.2,3.4
"Hounslow 013A","E01002583",512,15,497,120,92,3.3,5.1,2.9
"Hounslow 013B","E01002584",493,4,489,165,124,3.4,4.8,2.7
"Hounslow 013C","E01002585",509,8,501,135,115,3.2,5.1,2.9
"Hounslow 013D","E01002586",457,10,447,99,77,3.6,5.5,3.2
"Hounslow 013E","E01002589",677,9,668,187,126,2.9,4.5,2.5
"Hounslow 014A","E01002668",883,8,875,157,68,2.2,4.2,2.2
"Hounslow 014B","E01002669",711,25,686,150,86,2.5,4.3,2.2
"Hounslow 014C","E01002681",741,17,724,193,115,2.8,4.6,2.5
"Hounslow 014D","E01002682",927,12,915,213,80,2.5,4.4,2.5
"Hounslow 014E","E01002683",1037,43,994,180,81,2.5,4.7,2.5
"Hounslow 015A","E01002642",735,27,708,260,147,2.7,4.1,2.2
"Hounslow 015B","E01002643",910,20,890,232,122,2.5,4.3,2.3
"Hounslow 015C","E01002645",766,21,745,213,122,2.7,4.4,2.3
"Hounslow 015D","E01002658",501,6,495,45,33,2.7,5.6,3.0
"Hounslow 015E","E01002677",652,19,633,144,62,2.4,4.6,2.4
"Hounslow 016A","E01002587",605,12,593,157,125,3.1,4.8,2.7
"Hounslow 016B","E01002588",677,8,669,191,125,2.6,4.1,2.2
"Hounslow 016C","E01002660",522,12,510,151,112,3.4,5.0,2.7
"Hounslow 016D","E01002661",518,8,510,158,126,3.6,5.3,3.0
"Hounslow 016E","E01002665",524,9,515,154,114,3.1,4.6,2.5
"Hounslow 017A","E01002624",480,15,465,144,88,3.1,4.8,2.7
"Hounslow 017B","E01002646",712,18,694,292,153,2.8,3.9,2.1
"Hounslow 017C","E01002662",627,15,612,206,151,3.2,5.0,2.8
"Hounslow 017D","E01002663",751,10,741,258,137,2.8,4.2,2.3
"Hounslow 017E","E01002664",596,20,576,192,134,2.9,4.3,2.2
"Hounslow 018A","E01002641",637,12,625,210,156,3.0,4.7,2.5
"Hounslow 018C","E01002648",900,18,882,327,207,3.0,4.3,2.3
"Hounslow 018D","E01002649",692,28,664,259,133,2.6,4.1,2.3
"Hounslow 018E","E01002657",650,13,637,85,63,2.9,5.5,2.9
"Hounslow 018F","E01033083",643,61,582,364,164,2.6,3.2,1.7
"Hounslow 018G","E01033084",648,37,611,336,174,2.6,3.5,1.9
"Hounslow 019A","E01002653",542,10,532,89,72,3.3,5.6,3.2
"Hounslow 019B","E01002654",646,33,613,96,68,2.8,4.9,2.7
"Hounslow 019C","E01002655",622,19,603,104,64,3.0,5.4,3.0
"Hounslow 019D","E01002656",479,13,466,37,33,2.8,5.6,3.0
"Hounslow 019E","E01002659",504,5,499,56,35,2.8,5.3,3.0
"Hounslow 020A","E01002667",651,10,641,111,53,2.3,4.7,2.4
"Hounslow 020B","E01002670",708,23,685,100,59,2.5,4.9,2.6
"Hounslow 020C","E01002671",636,24,612,55,41,2.6,5.3,2.8
"Hounslow 020D","E01002672",683,30,653,168,84,2.3,3.9,2.0
"Hounslow 020E","E01002673",621,10,611,196,125,2.6,4.0,2.1
"Hounslow 021A","E01002647",753,23,730,193,144,2.9,4.4,2.3
"Hounslow 021B","E01002650",792,36,756,310,179,3.1,4.2,2.3
"Hounslow 021C","E01002651",550,10,540,166,122,3.2,4.9,2.7
"Hounslow 021D","E01002652",516,13,503,110,72,3.4,5.4,3.0
"Hounslow 021E","E01002666",407,9,398,83,80,3.4,5.3,2.9
"Hounslow 022A","E01002555",681,11,670,89,74,2.8,5.0,2.7
"Hounslow 022B","E01002556",639,20,619,81,56,2.6,4.8,2.5
"Hounslow 022C","E01002590",726,26,700,114,90,2.5,4.7,2.4
"Hounslow 022D","E01002592",789,17,772,146,102,2.5,4.4,2.3
"Hounslow 022E","E01002595",712,17,695,123,86,2.7,4.8,2.6
"Hounslow 023A","E01002557",743,24,719,171,78,2.4,4.5,2.3
"Hounslow 023B","E01002558",773,21,752,149,77,2.5,4.3,2.3
"Hounslow 023C","E01002559",857,23,834,198,92,2.7,4.4,2.4
"Hounslow 023D","E01002560",615,4,611,92,54,2.8,5.1,2.7
"Hounslow 023E","E01002561",551,6,545,118,69,2.5,4.0,2.1
"Hounslow 024A","E01002591",626,17,609,82,58,2.8,5.1,2.7
"Hounslow 024B","E01002593",725,23,702,114,82,2.7,4.8,2.6
"Hounslow 024C","E01002594",642,13,629,108,90,3.0,5.3,2.9
"Hounslow 024D","E01002611",636,22,614,76,60,2.8,5.2,2.8
"Hounslow 024E","E01002612",699,15,684,124,52,2.4,4.6,2.4
"Hounslow 024F","E01002613",609,17,592,72,61,2.9,5.1,2.7
"Hounslow 025B","E01002598",649,20,629,169,97,2.8,4.6,2.5
"Hounslow 025C","E01002599",569,12,557,88,70,2.8,4.8,2.5
"Hounslow 025D","E01002600",520,15,505,52,36,2.9,5.2,2.9
"Hounslow 025E","E01002603",666,6,660,149,106,2.9,4.7,2.5
"Hounslow 025F","E01033000",663,12,651,207,126,2.7,4.0,2.1
"Hounslow 025G","E01033030",773,29,744,312,107,2.2,3.4,1.7
"Hounslow 026A","E01002604",588,9,579,152,110,2.9,4.4,2.3
"Hounslow 026B","E01002605",753,30,723,163,84,2.5,4.4,2.3
"Hounslow 026C","E01002606",671,10,661,151,89,2.4,4.2,2.2
"Hounslow 026D","E01002607",676,17,659,109,81,2.8,4.9,2.6
"Hounslow 026E","E01002615",606,13,593,136,82,2.4,4.2,2.2
"Hounslow 027A","E01002596",772,68,704,176,97,2.4,3.9,1.9
"Hounslow 027B","E01002601",637,6,631,139,63,2.6,4.5,2.4
"Hounslow 027C","E01002602",564,16,548,61,32,2.6,4.9,2.5
"Hounslow 027D","E01002614",758,26,732,151,61,2.3,4.3,2.2
"Hounslow 027E","E01002616",535,12,523,37,30,2.6,5.1,2.7
"Hounslow 028A","E01002608",676,10,666,109,69,2.5,4.6,2.4
"Hounslow 028B","E01002609",655,21,634,55,43,2.6,5.1,2.7
"Hounslow 028C","E01002610",632,3,629,107,66,2.5,4.7,2.5
"Hounslow 028D","E01002617",642,16,626,55,41,2.5,5.3,2.7
"Hounslow 029A","E01002687",832,19,813,166,41,2.1,4.4,2.3
"Hounslow 029B","E01002691",591,21,570,77,49,2.7,5.5,3.0
"Hounslow 029C","E01002692",911,45,866,220,67,1.9,4.0,2.0
"Hounslow 029D","E01002693",841,26,815,189,56,2.0,4.3,2.1
"Hounslow 029E","E01032573",860,35,825,173,42,1.9,4.1,2.0
"Kingston upon Thames 001A","E01003006",611,8,603,33,24,2.5,5.8,3.0
"Kingston upon Thames 001B","E01003007",549,8,541,11,5,2.8,6.0,3.2
"Kingston upon Thames 001C","E01003008",514,7,507,17,18,2.8,5.8,3.2
"Kingston upon Thames 001D","E01003009",773,11,762,77,39,2.5,5.2,2.7
"Kingston upon Thames 001E","E01003010",554,6,548,37,13,2.7,6.4,3.4
"Kingston upon Thames 002A","E01002952",486,2,484,15,11,2.9,8.2,4.3
"Kingston upon Thames 002B","E01002953",453,4,449,29,16,2.8,7.3,3.8
"Kingston upon Thames 002C","E01002955",513,11,502,55,32,2.7,5.9,3.1
"Kingston upon Thames 002D","E01002956",437,5,432,10,9,2.7,7.4,3.8
"Kingston upon Thames 002E","E01002959",479,1,478,9,8,3.0,7.6,3.9
"Kingston upon Thames 003A","E01002935",775,19,756,169,63,2.3,4.7,2.4
"Kingston upon Thames 003B","E01002938",782,13,769,42,29,2.5,5.3,2.7
"Kingston upon Thames 003C","E01002951",624,14,610,56,26,2.4,5.5,2.9
"Kingston upon Thames 003D","E01002954",565,14,551,98,60,2.0,4.3,2.2
"Kingston upon Thames 003E","E01002957",608,11,597,159,94,2.8,4.8,2.7
"Kingston upon Thames 004A","E01002933",807,19,788,157,51,2.4,4.7,2.4
"Kingston upon Thames 004B","E01002934",649,5,644,45,28,2.8,5.8,3.1
"Kingston upon Thames 004D","E01002937",645,14,631,29,25,2.7,5.5,2.8
"Kingston upon Thames 004E","E01003011",730,18,712,108,44,2.4,5.1,2.6
"Kingston upon Thames 004F","E01033568",718,43,675,180,63,2.0,3.8,1.9
"Kingston upon Thames 004G","E01033569",696,26,670,143,56,2.2,4.4,2.3
"Kingston upon Thames 005A","E01002964",982,39,943,240,78,2.1,4.2,2.1
"Kingston upon Thames 005B","E01002969",756,28,728,230,138,2.3,3.8,1.9
"Kingston upon Thames 005C","E01002971",705,20,685,120,55,2.4,4.8,2.4
"Kingston upon Thames 005D","E01002972",828,48,780,166,62,2.2,4.3,2.2
"Kingston upon Thames 005E","E01002974",726,19,707,156,67,2.6,5.1,2.7
"Kingston upon Thames 006A","E01002932",678,23,655,185,81,2.5,4.2,2.2
"Kingston upon Thames 006B","E01002960",574,15,559,50,33,2.8,6.1,3.2
"Kingston upon Thames 006C","E01002962",511,28,483,59,40,3.0,5.5,3.0
"Kingston upon Thames 006D","E01002970",570,18,552,121,58,2.8,4.8,2.7
"Kingston upon Thames 006E","E01002973",465,9,456,90,51,3.0,5.1,2.9
"Kingston upon Thames 007A","E01002929",635,20,615,53,19,2.6,6.2,3.3
